Index,RegionSubregionCountryArea,Notes,CountryCode,ISO3AlphaCode,LocationTypeCode,LocationTypeName,SubregionCode,SubregionName,RegionCode,RegionName,MoreDevelopedRegions,LessDevelopedRegions,LeastDevelopedCountries,LessDevelopedRegionsExcludingLeastDevelopedCountries,HighIncomeCountries,MiddleIncomeCountries,UpperMiddleIncomeCountries,LowerMiddleIncomeCountries,LowIncomeCountries,Sub-SaharanAfrica,HIV/AIDS mortality modelling in WPP 2017 revision,"with a population of less than 90,000 by mid-2017"
18,Eritrea,,232,ERI,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
19,Ethiopia,,231,ETH,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
20,Kenya,,404,KEN,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
21,Madagascar,,450,MDG,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
22,Malawi,,454,MWI,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
23,Mauritius,1,480,MUS,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No
24,Mayotte,,175,MYT,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,Yes,No,No
25,Mozambique,,508,MOZ,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
26,Réunion,,638,REU,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,Yes,No,No
27,Rwanda,,646,RWA,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
28,Seychelles,,690,SYC,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
29,Somalia,,706,SOM,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
30,South Sudan,,728,SSD,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
31,Uganda,,800,UGA,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
32,United Republic of Tanzania,2,834,TZA,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
33,Zambia,,894,ZMB,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No
34,Zimbabwe,,716,ZWE,4,Country/Area,   910,Eastern Africa,   903,Africa,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No
35,Middle Africa,,911,   ,3,Subregion,,,   903,Africa,,,,,,,,,,,,
36,Angola,,24,AGO,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
37,Cameroon,,120,CMR,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
38,Central African Republic,,140,CAF,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
39,Chad,,148,TCD,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
40,Congo,,178,COG,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
41,Democratic Republic of the Congo,,180,COD,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
42,Equatorial Guinea,,226,GNQ,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
43,Gabon,,266,GAB,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
44,Sao Tome and Principe,,678,STP,4,Country/Area,   911,Middle Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
45,Northern Africa,,912,   ,3,Subregion,,,   903,Africa,,,,,,,,,,,,
46,Algeria,,12,DZA,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
47,Egypt,,818,EGY,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
48,Libya,,434,LBY,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
49,Morocco,,504,MAR,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
50,Sudan,,729,SDN,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
51,Tunisia,,788,TUN,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
52,Western Sahara,,732,ESH,4,Country/Area,   912,Northern Africa,   903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No
53,Southern Africa,,913,   ,3,Subregion,,,   903,Africa,,,,,,,,,,,,
54,Botswana,,72,BWA,4,Country/Area,   913,Southern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
55,Lesotho,,426,LSO,4,Country/Area,   913,Southern Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No
56,Namibia,,516,NAM,4,Country/Area,   913,Southern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
57,South Africa,,710,ZAF,4,Country/Area,   913,Southern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
58,Swaziland,,748,SWZ,4,Country/Area,   913,Southern Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
59,Western Africa,,914,   ,3,Subregion,,,   903,Africa,,,,,,,,,,,,
60,Benin,,204,BEN,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
61,Burkina Faso,,854,BFA,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
62,Cabo Verde,,132,CPV,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
63,Côte d'Ivoire,,384,CIV,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
64,Gambia,,270,GMB,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
65,Ghana,,288,GHA,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
66,Guinea,,324,GIN,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
67,Guinea-Bissau,,624,GNB,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
68,Liberia,,430,LBR,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
69,Mali,,466,MLI,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
70,Mauritania,,478,MRT,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
71,Niger,,562,NER,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
72,Nigeria,,566,NGA,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
73,Saint Helena,3,654,SHN,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,Yes,No,Yes
74,Senegal,,686,SEN,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
75,Sierra Leone,,694,SLE,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
76,Togo,,768,TGO,4,Country/Area,   914,Western Africa,   903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
77,ASIA,,935,   ,2,Region,,,,,,,,,,,,,,,,
78,Eastern Asia,,906,   ,3,Subregion,,,   935,Asia,,,,,,,,,,,,
79,China,4,156,CHN,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
80,"China, Hong Kong SAR",5,344,HKG,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
81,"China, Macao SAR",6,446,MAC,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
82,"China, Taiwan Province of China",,158,TWN,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
83,Dem. People's Republic of Korea,,408,PRK,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
84,Japan,,392,JPN,4,Country/Area,   906,Eastern Asia,   935,Asia,Yes,No,No,No,Yes,No,No,No,No,No,No,No
85,Mongolia,,496,MNG,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
86,Republic of Korea,,410,KOR,4,Country/Area,   906,Eastern Asia,   935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
87,South-Central Asia,7,921,   ,3,Subregion,,,   935,Asia,,,,,,,,,,,,
88,Central Asia,,5500,   ,3,Subregion,   921,South-Central Asia,   935,Asia,,,,,,,,,,,,
89,Kazakhstan,,398,KAZ,4,Country/Area,  5 500,Central Asia,   935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
90,Kyrgyzstan,,417,KGZ,4,Country/Area,  5 500,Central Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
91,Tajikistan,,762,TJK,4,Country/Area,  5 500,Central Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
92,Turkmenistan,,795,TKM,4,Country/Area,  5 500,Central Asia,   935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
93,Uzbekistan,,860,UZB,4,Country/Area,  5 500,Central Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
94,Southern Asia,,5501,   ,3,Subregion,   921,South-Central Asia,   935,Asia,,,,,,,,,,,,
95,Afghanistan,,4,AFG,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
96,Bangladesh,,50,BGD,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
97,Bhutan,,64,BTN,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
98,India,,356,IND,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
99,Iran (Islamic Republic of),,364,IRN,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
100,Maldives,,462,MDV,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
101,Nepal,,524,NPL,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
102,Pakistan,,586,PAK,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
103,Sri Lanka,,144,LKA,4,Country/Area,  5 501,Southern Asia,   935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
104,South-Eastern Asia,,920,   ,3,Subregion,,,   935,Asia,,,,,,,,,,,,
105,Brunei Darussalam,,96,BRN,4,Country/Area,   920,South-Eastern Asia,   935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
106,Cambodia,,116,KHM,4,Country/Area,   920,South-Eastern Asia,   935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
