Index,RegionSubregionCountryArea,Notes,CountryCode,ISO3AlphaCode,LocationTypeCode,LocationTypeName,SubregionCode,SubregionName,RegionCode,RegionName,MoreDevelopedRegions,LessDevelopedRegions,LeastDevelopedCountries,LessDevelopedRegionsExcludingLeastDevelopedCountries,HighIncomeCountries,MiddleIncomeCountries,UpperMiddleIncomeCountries,LowerMiddleIncomeCountries,LowIncomeCountries,Sub-SaharanAfrica,HIV/AIDS mortality modelling in WPP 2017 revision,"with a population of less than 90,000 by mid-2017"
149,Denmark,,208,DNK,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
150,Estonia,,233,EST,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
151,Faeroe Islands,,234,FRO,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
152,Finland,16,246,FIN,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
153,Iceland,,352,ISL,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
154,Ireland,,372,IRL,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
155,Isle of Man,,833,IMN,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
156,Latvia,,428,LVA,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
157,Lithuania,,440,LTU,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
158,Norway,17,578,NOR,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
159,Sweden,,752,SWE,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
160,United Kingdom,,826,GBR,4,Country/Area,   924,Northern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
161,Southern Europe,,925,   ,3,Subregion,,,   908,Europe,,,,,,,,,,,,
162,Albania,,8,ALB,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
163,Andorra,,20,AND,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
164,Bosnia and Herzegovina,,70,BIH,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
165,Croatia,,191,HRV,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
166,Gibraltar,,292,GIB,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
167,Greece,,300,GRC,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
168,Holy See,18,336,VAT,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Not available,Not available,Not available,Not available,Not available,No,No,Yes
169,Italy,,380,ITA,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
170,Malta,,470,MLT,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
171,Montenegro,,499,MNE,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
172,Portugal,,620,PRT,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
173,San Marino,,674,SMR,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
174,Serbia,19,688,SRB,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
175,Slovenia,,705,SVN,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
176,Spain,20,724,ESP,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
177,TFYR Macedonia,21,807,MKD,4,Country/Area,   925,Southern Europe,   908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
178,Western Europe,,926,   ,3,Subregion,,,   908,Europe,,,,,,,,,,,,
179,Austria,,40,AUT,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
180,Belgium,,56,BEL,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
181,France,,250,FRA,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
182,Germany,,276,DEU,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
183,Liechtenstein,,438,LIE,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
184,Luxembourg,,442,LUX,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
185,Monaco,,492,MCO,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
186,Netherlands,,528,NLD,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
187,Switzerland,,756,CHE,4,Country/Area,   926,Western Europe,   908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No
188,LATIN AMERICA AND THE CARIBBEAN,,904,   ,2,Region,,,,,,,,,,,,,,,,
189,Caribbean,,915,   ,3,Subregion,,,   904,Latin America and the Caribbean,,,,,,,,,,,,
190,Anguilla,,660,AIA,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
191,Antigua and Barbuda,,28,ATG,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
192,Aruba,,533,ABW,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
193,Bahamas,,44,BHS,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
194,Barbados,,52,BRB,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
195,British Virgin Islands,,92,VGB,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
196,Caribbean Netherlands,22,535,BES,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
197,Cayman Islands,,136,CYM,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
198,Cuba,,192,CUB,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
199,Curaçao,,531,CUW,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
200,Dominica,,212,DMA,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
201,Dominican Republic,,214,DOM,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
202,Grenada,,308,GRD,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
203,Guadeloupe,23,312,GLP,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No
204,Haiti,,332,HTI,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
205,Jamaica,,388,JAM,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
206,Martinique,,474,MTQ,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No
207,Montserrat,,500,MSR,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
208,Puerto Rico,,630,PRI,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
209,Saint Kitts and Nevis,,659,KNA,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
210,Saint Lucia,,662,LCA,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
211,Saint Vincent and the Grenadines,,670,VCT,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
212,Sint Maarten (Dutch part),,534,SXM,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
213,Trinidad and Tobago,,780,TTO,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
214,Turks and Caicos Islands,,796,TCA,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
215,United States Virgin Islands,,850,VIR,4,Country/Area,   915,Caribbean,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
216,Central America,,916,   ,3,Subregion,,,   904,Latin America and the Caribbean,,,,,,,,,,,,
217,Belize,,84,BLZ,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
218,Costa Rica,,188,CRI,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
219,El Salvador,,222,SLV,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
220,Guatemala,,320,GTM,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
221,Honduras,,340,HND,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
222,Mexico,,484,MEX,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
223,Nicaragua,,558,NIC,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
224,Panama,,591,PAN,4,Country/Area,   916,Central America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
225,South America,,931,   ,3,Subregion,,,   904,Latin America and the Caribbean,,,,,,,,,,,,
226,Argentina,,32,ARG,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
227,Bolivia (Plurinational State of),,68,BOL,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
228,Brazil,,76,BRA,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
229,Chile,,152,CHL,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
230,Colombia,,170,COL,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
231,Ecuador,,218,ECU,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
232,Falkland Islands (Malvinas),24,238,FLK,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
233,French Guiana,,254,GUF,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No
234,Guyana,,328,GUY,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
235,Paraguay,,600,PRY,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
236,Peru,,604,PER,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
237,Suriname,,740,SUR,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
238,Uruguay,,858,URY,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
239,Venezuela (Bolivarian Republic of),,862,VEN,4,Country/Area,   931,South America,   904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
240,NORTHERN AMERICA,,905,   ,2,Region,,,,,,,,,,,,,,,,
241,Bermuda,,60,BMU,4,Country/Area,,,   905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
242,Canada,,124,CAN,4,Country/Area,,,   905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,No
243,Greenland,,304,GRL,4,Country/Area,,,   905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
244,Saint Pierre and Miquelon,,666,SPM,4,Country/Area,,,   905,Northern America,Yes,No,No,No,Not available,Not available,Not available,Not available,Not available,No,No,Yes
245,United States of America,,840,USA,4,Country/Area,,,   905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,No
246,OCEANIA,,909,   ,2,Region,,,,,,,,,,,,,,,,
247,Australia/New Zealand,,927,   ,3,Subregion,,,   909,Oceania,,,,,,,,,,,,
248,Australia,25,36,AUS,4,Country/Area,   927,Australia/New Zealand,   909,Oceania,Yes,No,No,No,Yes,No,No,No,No,No,No,No
249,New Zealand,,554,NZL,4,Country/Area,   927,Australia/New Zealand,   909,Oceania,Yes,No,No,No,Yes,No,No,No,No,No,No,No
250,Melanesia,,928,   ,3,Subregion,,,   909,Oceania,,,,,,,,,,,,
251,Fiji,,242,FJI,4,Country/Area,   928,Melanesia,   909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
252,New Caledonia,,540,NCL,4,Country/Area,   928,Melanesia,   909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
253,Papua New Guinea,,598,PNG,4,Country/Area,   928,Melanesia,   909,Oceania,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
254,Solomon Islands,,90,SLB,4,Country/Area,   928,Melanesia,   909,Oceania,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
255,Vanuatu,,548,VUT,4,Country/Area,   928,Melanesia,   909,Oceania,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
256,Micronesia,,954,   ,3,Subregion,,,   909,Oceania,,,,,,,,,,,,
257,Guam,,316,GUM,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
258,Kiribati,,296,KIR,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
259,Marshall Islands,,584,MHL,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
260,Micronesia (Fed. States of),,583,FSM,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
261,Nauru,,520,NRU,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
262,Northern Mariana Islands,,580,MNP,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
263,Palau,,585,PLW,4,Country/Area,   954,Micronesia,   909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
264,Polynesia,26,957,   ,3,Subregion,,,   909,Oceania,,,,,,,,,,,,
265,American Samoa,,16,ASM,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
266,Cook Islands,,184,COK,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
267,French Polynesia,,258,PYF,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
268,Niue,,570,NIU,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
269,Samoa,,882,WSM,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
270,Tokelau,,772,TKL,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
271,Tonga,,776,TON,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
272,Tuvalu,,798,TUV,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes
273,Wallis and Futuna Islands,,876,WLF,4,Country/Area,   957,Polynesia,   909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
